id,nome,tipo_lixo,latitude,longitude,endereco
237,Drogaria Pacheco Asa Norte,pilhas,-15.765782693999753,-47.87716589139921,Asa Norte Comércio Local Norte 407 - D
238,Drogaria Pacheco Asa Sul,pilhas,-15.804041802052708,-47.88546745092777,Asa Sul CLS 201 - Asa Sul
239,Drogaria Pacheco 209 sul,pilhas,-15.822935520151905,-47.90475866256271,Asa Sul CLS 209 BLOCO C - Plano Piloto
240,Drogaria Pacheco Asa Sul,pilhas,-15.83507507125081,-47.92093937790873,BL D - SCLS QUADRA 216 - Asa Sul
241,Drogaria Pacheco Lago Sul,pilhas,-15.85706316550418,-47.83250043558174,SMDB Conjunto 12 Bloco H Loja 105 - Lago Sul
242,Drogaria Pacheco Lago Sul,pilhas,-15.84284719819725,-47.87685856417017,Q SHIS SETOR DE HABIT.INDIVIDUAIS SUL QI 13 Bloco J LJS 4/5 E 6 EDIFIC
243,Drogaria Pacheco Asa Sul,pilhas,-15.754753226369875,-47.88766843942968,Loja 08 10 12 & 14 St. de Habitações Individuais Sul - Ind. Sul
244,Drogaria Pacheco SAnta Maria,pilhas,-16.004864527792968,-47.99617602023571,Lote D Av. Alagado Cl 116 S/N - Santa Maria
245,Drogaria Pacheco Asa Sul,pilhas,-15.797940916288727,-47.88653826256271,Setor Comercial Sul Q. 1 - Asa Sul
246,Drogaria Pacheco Asa Sul,pilhas,-15.833539555987096,-47.95527760488969,R SAI/SO AREA 6580 - Asa Sul
247,Drogaria Pacheco Sudoeste,pilhas,-15.797587326264312,-47.92566645581747,Q CLSW 300B BLOCO 4 LJ 5/6/7 E 8 TERREO
